[2016-Sep-02 09:52:43.449266] <0>: 

 Starting up!

[2016-Sep-02 09:52:43.449646] <0>: ACQ Thread: Opening VME Card Via Optical Link, Digitizer #0
[2016-Sep-02 09:52:43.449858] <0>: ACQ Thread: Successfully Opened Digitizer #0
[2016-Sep-02 09:52:43.449962] <0>: ACQ Thread:Common Register Readback for Digitizer #0
[2016-Sep-02 09:52:43.455837] <0>: ACQ Thread:0x00001a3c | 0x00000005
[2016-Sep-02 09:52:43.455865] <0>: ACQ Thread:0x00001a54 | 0x000000bc
[2016-Sep-02 09:52:43.455892] <0>: ACQ Thread:0x00001a58 | 0x00000178
[2016-Sep-02 09:52:43.455919] <0>: ACQ Thread:0x00001a5c | 0x0000000a
[2016-Sep-02 09:52:43.455946] <0>: ACQ Thread:0x00001a60 | 0x00000041
[2016-Sep-02 09:52:43.455973] <0>: ACQ Thread:0x00001a64 | 0x00000000
[2016-Sep-02 09:52:43.456001] <0>: ACQ Thread:0x00001a70 | 0x00000001
[2016-Sep-02 09:52:43.456028] <0>: ACQ Thread:0x00001a74 | 0x00000064
[2016-Sep-02 09:52:43.456055] <0>: ACQ Thread:0x00001a78 | 0x00000000
[2016-Sep-02 09:52:43.456083] <0>: ACQ Thread:0x00001a80 | 0x00110002
[2016-Sep-02 09:52:43.456110] <0>: ACQ Thread:0x00001a98 | 0x00000f5c
[2016-Sep-02 09:52:43.456137] <0>: ACQ Thread:0x00001ad4 | 0x00000000
[2016-Sep-02 09:52:43.456164] <0>: ACQ Thread:0x00001b28 | 0x00000000
[2016-Sep-02 09:52:43.456192] <0>: ACQ Thread:0x00001b38 | 0x00000008
[2016-Sep-02 09:52:43.456219] <0>: ACQ Thread:0x00001b3c | 0x00000005
[2016-Sep-02 09:52:43.456247] <0>: ACQ Thread:0x00001b54 | 0x000000bc
[2016-Sep-02 09:52:43.456274] <0>: ACQ Thread:0x00001b58 | 0x00000178
[2016-Sep-02 09:52:43.456301] <0>: ACQ Thread:0x00001b5c | 0x0000000a
[2016-Sep-02 09:52:43.456328] <0>: ACQ Thread:0x00001b60 | 0x00000041
[2016-Sep-02 09:52:43.456355] <0>: ACQ Thread:0x00001b64 | 0x00000000
[2016-Sep-02 09:52:43.456383] <0>: ACQ Thread:0x00001b70 | 0x00000001
[2016-Sep-02 09:52:43.456410] <0>: ACQ Thread:0x00001b74 | 0x00000064
[2016-Sep-02 09:52:43.456437] <0>: ACQ Thread:0x00001b78 | 0x00000000
[2016-Sep-02 09:52:43.456465] <0>: ACQ Thread:0x00001b80 | 0x00110002
[2016-Sep-02 09:52:43.456492] <0>: ACQ Thread:0x00001b98 | 0x00000f5c
[2016-Sep-02 09:52:43.456519] <0>: ACQ Thread:0x00001bd4 | 0x00000000
[2016-Sep-02 09:52:43.456546] <0>: ACQ Thread:0x00001c28 | 0x00000000
[2016-Sep-02 09:52:43.456573] <0>: ACQ Thread:0x00001c38 | 0x00000008
[2016-Sep-02 09:52:43.456600] <0>: ACQ Thread:0x00001c3c | 0x00000005
[2016-Sep-02 09:52:43.456627] <0>: ACQ Thread:0x00001c54 | 0x000000bc
[2016-Sep-02 09:52:43.456654] <0>: ACQ Thread:0x00001c58 | 0x00000178
[2016-Sep-02 09:52:43.456681] <0>: ACQ Thread:0x00001c5c | 0x0000000a
[2016-Sep-02 09:52:43.456708] <0>: ACQ Thread:0x00001c60 | 0x00000041
[2016-Sep-02 09:52:43.456736] <0>: ACQ Thread:0x00001c64 | 0x00000000
[2016-Sep-02 09:52:43.456763] <0>: ACQ Thread:0x00001c70 | 0x00000001
[2016-Sep-02 09:52:43.456791] <0>: ACQ Thread:0x00001c74 | 0x00000064
[2016-Sep-02 09:52:43.456824] <0>: ACQ Thread:0x00001c78 | 0x00000000
[2016-Sep-02 09:52:43.456854] <0>: ACQ Thread:0x00001c80 | 0x00110002
[2016-Sep-02 09:52:43.456881] <0>: ACQ Thread:0x00001c98 | 0x00000f5c
[2016-Sep-02 09:52:43.456909] <0>: ACQ Thread:0x00001cd4 | 0x00000000
[2016-Sep-02 09:52:43.456936] <0>: ACQ Thread:0x00001d28 | 0x00000000
[2016-Sep-02 09:52:43.456964] <0>: ACQ Thread:0x00001d38 | 0x00000008
[2016-Sep-02 09:52:43.456992] <0>: ACQ Thread:0x00001d3c | 0x00000005
[2016-Sep-02 09:52:43.457019] <0>: ACQ Thread:0x00001d54 | 0x000000bc
[2016-Sep-02 09:52:43.457046] <0>: ACQ Thread:0x00001d58 | 0x00000178
[2016-Sep-02 09:52:43.457073] <0>: ACQ Thread:0x00001d5c | 0x0000000a
[2016-Sep-02 09:52:43.457100] <0>: ACQ Thread:0x00001d60 | 0x00000041
[2016-Sep-02 09:52:43.457128] <0>: ACQ Thread:0x00001d64 | 0x00000000
[2016-Sep-02 09:52:43.457155] <0>: ACQ Thread:0x00001d70 | 0x00000001
[2016-Sep-02 09:52:43.457182] <0>: ACQ Thread:0x00001d74 | 0x00000064
[2016-Sep-02 09:52:43.457209] <0>: ACQ Thread:0x00001d78 | 0x00000000
[2016-Sep-02 09:52:43.457236] <0>: ACQ Thread:0x00001d80 | 0x00110002
[2016-Sep-02 09:52:43.457264] <0>: ACQ Thread:0x00001d98 | 0x00000f5c
[2016-Sep-02 09:52:43.457291] <0>: ACQ Thread:0x00001dd4 | 0x00000000
[2016-Sep-02 09:52:43.457318] <0>: ACQ Thread:0x00001e28 | 0x00000000
[2016-Sep-02 09:52:43.457346] <0>: ACQ Thread:0x00001e38 | 0x000000fa
[2016-Sep-02 09:52:43.457373] <0>: ACQ Thread:0x00001e3c | 0x00000005
[2016-Sep-02 09:52:43.457400] <0>: ACQ Thread:0x00001e54 | 0x0000000a
[2016-Sep-02 09:52:43.457427] <0>: ACQ Thread:0x00001e58 | 0x00000032
[2016-Sep-02 09:52:43.457454] <0>: ACQ Thread:0x00001e5c | 0x00000005
[2016-Sep-02 09:52:43.457481] <0>: ACQ Thread:0x00001e60 | 0x0000000a
[2016-Sep-02 09:52:43.457509] <0>: ACQ Thread:0x00001e64 | 0x00000000
[2016-Sep-02 09:52:43.457536] <0>: ACQ Thread:0x00001e70 | 0x00000001
[2016-Sep-02 09:52:43.457563] <0>: ACQ Thread:0x00001e74 | 0x00000064
[2016-Sep-02 09:52:43.457590] <0>: ACQ Thread:0x00001e78 | 0x00000000
[2016-Sep-02 09:52:43.457617] <0>: ACQ Thread:0x00001e80 | 0x00000000
[2016-Sep-02 09:52:43.457645] <0>: ACQ Thread:0x00001e98 | 0x00008000
[2016-Sep-02 09:52:43.457672] <0>: ACQ Thread:0x00001ed4 | 0x00000000
[2016-Sep-02 09:52:43.457699] <0>: ACQ Thread:0x00001f28 | 0x00000000
[2016-Sep-02 09:52:43.457726] <0>: ACQ Thread:0x00001f38 | 0x000000fa
[2016-Sep-02 09:52:43.457753] <0>: ACQ Thread:0x00001f3c | 0x00000005
[2016-Sep-02 09:52:43.457780] <0>: ACQ Thread:0x00001f54 | 0x0000000a
[2016-Sep-02 09:52:43.457807] <0>: ACQ Thread:0x00001f58 | 0x00000032
[2016-Sep-02 09:52:43.457834] <0>: ACQ Thread:0x00001f5c | 0x00000005
[2016-Sep-02 09:52:43.457879] <0>: ACQ Thread:0x00001f60 | 0x0000000a
[2016-Sep-02 09:52:43.457905] <0>: ACQ Thread:0x00001f64 | 0x00000000
[2016-Sep-02 09:52:43.457931] <0>: ACQ Thread:0x00001f70 | 0x00000001
[2016-Sep-02 09:52:43.457958] <0>: ACQ Thread:0x00001f74 | 0x00000064
[2016-Sep-02 09:52:43.457984] <0>: ACQ Thread:0x00001f78 | 0x00000000
[2016-Sep-02 09:52:43.458010] <0>: ACQ Thread:0x00001f80 | 0x00000000
[2016-Sep-02 09:52:43.458036] <0>: ACQ Thread:0x00001f98 | 0x00008000
[2016-Sep-02 09:52:43.458070] <0>: ACQ Thread:0x00001fd4 | 0x00000000
[2016-Sep-02 09:52:43.458111] <0>: 
ORCHID has successfully shut down, have a nice day! :-)


